files,curr_date,version,file_urls,make,model
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3v.jpg', 'path': 'full/6cb298afd8bc85611b14cd028a09c07d0b165b83.jpg', 'checksum': '441d93a7762e545f2220f06c7dca127d'}]",2016/08/07,"
            1.4 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3v.jpg,Suzuki,Ertiga
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3_2v.jpg', 'path': 'full/0e1c5e7778e96c15732b9183366e4cfb6ed63f42.jpg', 'checksum': '405fffe601d26dd509664237f91eb0b8'}]",2016/08/07,"
            1.4 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3_2v.jpg,Suzuki,Ertiga
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3_3v.jpg', 'path': 'full/89c17ce851daa0181c451915cfe72d2c889a35fe.jpg', 'checksum': '04c8738c2643451afcfd49bfbdeff823'}]",2016/08/07,"
            1.4 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Ertiga/Suzuki-Ertiga-1.4-GL-auto_SuzuErti1fe3_3v.jpg,Suzuki,Ertiga
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4v.jpg', 'path': 'full/b235a9e4743ecbb7caacf699f3223fce9f42ea33.jpg', 'checksum': 'a57c1fe4741ac6d43acbc132c4f3bfab'}]",2016/08/07,"
            hatch 1.6 Sport    ",http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4v.jpg,Suzuki,Swift
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4_2v.jpg', 'path': 'full/c169fc32c92d89e497141603d553d85a861423fb.jpg', 'checksum': 'ef601559236717fc8b4f972f46b71317'}]",2016/08/07,"
            hatch 1.6 Sport    ",http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4_2v.jpg,Suzuki,Swift
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4_3v.jpg', 'path': 'full/ab44cd5f9c95b26428837c55df5d4f055f804572.jpg', 'checksum': '197e82fc2d2c2600dac0b18f43ee403b'}]",2016/08/07,"
            hatch 1.6 Sport    ",http://www.cars.co.za/carimages_gen/Suzuki-Swift/Suzuki-Swift-hatch-1.6-Sport_SuzuSwif1frh4_3v.jpg,Suzuki,Swift
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3v.jpg', 'path': 'full/43a14b696285c1a6868bc9c3b1dd97b06a488e53.jpg', 'checksum': '95b3efc3676104a696902d910867db8b'}]",2016/08/07,"
            1.0 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3v.jpg,Suzuki,Celerio
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3_2v.jpg', 'path': 'full/0ba82dd55593deb0040d2990738211e2a9585085.jpg', 'checksum': '079247b83e3a2e08758d7aed7fba75c8'}]",2016/08/07,"
            1.0 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3_2v.jpg,Suzuki,Celerio
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3_3v.jpg', 'path': 'full/e2ff10c6072d221c09cd1ba75205c931d1786dc4.jpg', 'checksum': '02160a1bf85e9f6fb32a3b27f234ddfd'}]",2016/08/07,"
            1.0 GL auto    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL-auto_SuzuCele1h3_3v.jpg,Suzuki,Celerio
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2v.jpg', 'path': 'full/512ecb1e6948b98972912be525702dfbcf3c0073.jpg', 'checksum': '95b3efc3676104a696902d910867db8b'}]",2016/08/07,"
            1.0 GL    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2v.jpg,Suzuki,Celerio
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2_2v.jpg', 'path': 'full/74245c7b08026c2138e84423efd532efb0ae8237.jpg', 'checksum': '079247b83e3a2e08758d7aed7fba75c8'}]",2016/08/07,"
            1.0 GL    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2_2v.jpg,Suzuki,Celerio
"[{'url': 'http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2_3v.jpg', 'path': 'full/01259abc5c75bab04942b39f5058a7b564a6e5dc.jpg', 'checksum': '02160a1bf85e9f6fb32a3b27f234ddfd'}]",2016/08/07,"
            1.0 GL    ",http://www.cars.co.za/carimages_gen/Suzuki-Celerio/Suzuki-Celerio-1.0-GL_SuzuCele1h2_3v.jpg,Suzuki,Celerio
